poiID,商家名,平均得分,地址,平均价格,获得评论总数
157361898,小川料理（楚河汉街店）,5,武昌区楚河南路汉街总部国际C座对面二楼,93,242
42788407,鑫小城故事（光谷店）,5,洪山区珞雄路光谷意大利风情街3号楼4楼,41,11159
40735703,三五醇欧洲花园酒店,5,江汉区新华下路245号（北湖区委旁）,34,6057
755380436,乔叶龙老武汉烧烤（花之都美食街店）,0,江夏区古驿道风味美食街肥肥虾庄旁,0,0
1496465,东北人烤肉之火石肉堂（汉商21世纪中心店）,4.7,汉阳区汉阳大道577号汉商21世纪购物中心4层,48,9889
6662454,麻辣小屋（汉商21世纪中心店）,5,汉阳区汉阳大道577号汉商21世纪购物中心4层,34,17580
175380765,小川料理（江汉路店）,5,江汉区花楼街198号宝利金国际公馆1楼（星巴克斜对面，余子饭堂隔壁）,94,35
5136959,舍得火锅（红钢城总店）,5,青山区红钢城市政侧路52号（速8酒店对面）,59,3737
5554797,亮亮烧烤（光谷软件园店）,5,洪山区关山大道与软件园路交叉口西南角中建康城西区底商,52,14855
101212428,合利家炭火烤肉（经济学院店）,4.9,江夏区杨桥湖大道15号（招商银行旁）,57,1557
5172474,禾帕自助餐厅（世贸广场店）,5,江汉区解放大道686号世贸广场7层,75,11041
740990,深巷家味馆（后湖店）,4.9,江岸区兴业路190号香利国庭对面,42,5026
107771246,牛岛炭火烤肉,5,汉阳区滨江大道191号世茂52+商场3层306号（世茂希尔顿酒店旁）,92,1714
42013159,海乐汇小海鲜（常青店）,5,东西湖区金银潭大道永旺梦乐城一楼,50,12657
4483037,田师傅香辣虾蟹（前进二路店）,4.5,江汉区江汉路步行街前进二路129号（近简朴寨）,49,3206
190892682,朴氏本家韩国料理（经开万达店）,4.2,蔡甸区东风大道111号万达广场万达金街E52（武汉体育中心附近）,81,34
2410021,锅之恋焖锅烤鱼（江汉路店）,4.5,江汉区江汉路步行街长盛广场2楼（中心百货斜对面，屈臣氏上面）,46,30009
52735081,项姐烤猪蹄（澳门美食街）,4.5,洪山区光谷步行街1期3楼澳门街美食城内B013,10,4514
193379360,牛很鲜潮汕牛肉火锅（徐东店）,4.5,武昌区徐东大街沙湖路国际城9-6号27-28号铺,79,89
4955388,汤思福北京烤鸭（我家厨房）,4.7,蔡甸区宁康路湘隆时代广场A区10栋2楼（宁康园车站对面，中国电信旁，招商银行楼上）,30,14360
5335418,玛格利塔（徐东平价店）,4.5,洪山区徐东大街31号（徐东平价一楼）,20,7901
163479631,一百根小肫肝火锅串串（光谷旗舰店）,4.7,洪山区光谷街风度柏林三期门面3号,56,1191
4239555,戈雅法餐厅（世界城广场店）,4.3,洪山区珞喻路726号世界城广场2层（近省中医院）,199,3390
41272550,尚渔味烤鱼（金银潭永旺梦乐城店）,5,东西湖区金银潭大道1号永旺梦乐城2层,68,6721
194866452,阿卡AK.Lab洋风韩国料理（江汉路店）,5,江汉区中山大道818号新佳丽购物广场6楼（地铁2或6号线H出口）,89,101
6742130,大溪烤鱼（光谷店）,4.5,洪山区光谷步行街意大利风情街5号楼五楼,56,35613
5571696,丽小馆·家料理（武商众圆广场店）,3.9,青山区和平大道959号武商众圆广场5层509,49,3596
